posisi,perusahaan,kota,provinsi,gaji,tools,pendidikan,pengalaman,deskripsi_lengkap,level
Junior Data Analyst,PT BANK NEO COMMERCE Tbk.,Jakarta Lainnya,Jakarta Raya,,"SQL, Tableau, Python, R, Power BI, Excel","Computer Science, Data Science, Statistics",,"Job Description:
As the Data Analyst at BNC, you will play a crucial role in leveraging data to drive data-driven decision-making, enhance operational efficiency, and optimize customer experiences. You will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights that support various departments within the bank.
Key Responsibilities:
Analyze large datasets to identify trends, patterns, and anomalies. Utilize statistical techniques to draw meaningful conclusions and insights from data.
Monitor key performance indicators (KPIs) related to banking operations, customer behavior, and financial performance. Identify anomalies and recommend corrective actions as needed.
Design experiment and validate experiment result to measure business impact scientifically.
Collaborate proactively with cross-functional teams to provide data-driven insights that support strategic decision-making and business growth.
Implement data governance best practices to ensure data quality, integrity, and security. Implement best practices for data management and storage.
Requirements:
Bachelor’s degree in Data Science, Statistics, Computer Science, or a related field.
Minimum of 1 year experience as a Data Analyst with a proven track record of successful data analysis projects. Experience in the Banking industry is a big plus.
Proficient in SQL and in at least one of: Python, R, Excel.
Experience with data visualization tools such as Tableau, Power BI, or similar tools.
Familiarity with statistical analysis tools and techniques is a plus.
Excellent communication and interpersonal skills, including project and stakeholder management.",
Business Analyst (Data Analyst),PT GLOBAL LOYALTY INDONESIA,Tangerang,Banten,,"SQL, Tableau, Excel, Looker","Computer Science, Mathematics, Statistics",1,"Responsibilities :
Collecting data, Researching, developing, and implementing data-gathering methods.
Analyzing and synthesizing data.
Collaborating with coworkers and management to implement improvements.
Evaluating the effectiveness of implemented strategies.
Requirements :
Bachelor's Degree In Computer Science, Mathematics, Statistics, or Related Field
1-2 years of Proven experience as Data Analyst
Proficiency in Excel & SQL is a must
Preferably having experience using data visualization tools (Tableau, Looker Studio, etc)",Entry Level
Data Analyst Officer (Collection Departement),PT Anugerah Digital Indonesia,Jakarta Pusat,Jakarta Raya,,"Power BI, Tableau, Excel, SQL","Economics, Industrial Engineering, Mathematics, Statistics",2,"Job Description:
Collect, clean, and process data related to collection activities (loan aging, DPD, recovery rate, bucket movement).
Prepare regular reports (daily, weekly, monthly) to monitor collection team performance.
Analyze the effectiveness of collection strategies (call center, reminder SMS, field collection, restructuring).
Provide data-driven insights to improve recovery rate and reduce NPL (Non-Performing Loan).
Build and maintain interactive dashboards for real-time monitoring of collection KPIs.
Collaborate with Collection, Risk, and Business teams to develop data-driven strategies.
Ensure data accuracy, consistency, and compliance with OJK/BI regulations.
Qualifications:
Bachelor’s degree in Statistics, Mathematics, Economics, Industrial Engineering, or related field.
1–2 years of experience as a Data Analyst (preferably in fintech, banking, or multifinance).
Proficient in SQL and Excel (advanced formulas, pivot tables, lookups).
Skilled in data visualization tools (Power BI, Tableau, or similar).
Basic knowledge of statistics (regression, segmentation, distribution).
Understanding of collection processes and risk/collection KPIs is a strong plus.
Strong analytical skills, attention to detail, and problem-solving ability.
Good communication skills with the ability to explain insights to non-technical stakeholders.
High integrity and ability to work in a fast-paced fintech environment.",Mid Level
DATA  ANALYST - SIDOARJO (East Area),PT Venindo Jaya Abadi,Sidoarjo,Jawa Timur,8000000,"SPSS, SQL, Python, Power BI, Oracle, Excel",,,"Job Desk Data Analyst
Berikut merupakan Job Desk Data Analyst :
Mengumpulkan Data yang akurat
Mengelompokan dan mengidentifikasikan  Data : Membuat rancangan , menyimpan dan mengelola database
Mengolah Data – data yang dimiliki Menggunakan alat statistik
seperti microsoft excel, program spss, sampai dengan program SQL.
Membuat kesimpulan dan laporan yang relevan setelah data dianalisis.
Berkomunikasi dengan Internal Customer : Logistik, Sales etc
Menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami.
Kualifikasi Data Analyst
1.
Mengerti Bahasa Pemrograman
Bahasa pemrograman seperti SQL (Structured Query Language) , Oracle dan Python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh Data Analyst.
2. Familiar dengan platform Power BI dari Microsoft
3. Mengerti Matematika dan Statistik
4. Mampu menganalisis, menyajikan dan menginterpretasikan data
5. Mampu menggunakan Software
6. Memahami Data Warehousing
7. Akurat & Detail Oriented",
Data Analyst,PT Suzuki Indomobil Motor,Jakarta Timur,Jakarta Raya,,Tidak ada tools spesifik,"Information Technology, Management, Mathematics, Statistics",2,"Job Description
Prepare a customer satisfaction survey with the appropriate method
Ensuring the achievement of customer satisfaction scores above the targets set
Ensuring the quality of internal surveys and conducting analysis
Execute and evaluate action plans and campaigns to increase customer satisfaction
Requirements
Bachelor/Master's Degree in Statistics, Mathematics, Management, or IT with a minimum GPA of 3.00 from a reputable university
Have a minimum of 2 years experience in data analysis & customer satisfaction/ customer survey
Skills
Fluent in English (verbal & written)
Microsoft Office (minimal intermediate)
Planning and organizing skills
Customer service oriented
Looking for character:
Development timeline planning
Work with cross-function team
Strong analytical and logical thinking
Good interpersonal & communication
Able to work as a team or independent",Mid Level
CRM/CVM Analyst (Work From Home) - Singapore Client,PT. AETHER DIGITAL INDONESIA,Jakarta Barat,Jakarta Raya,20000000,"Google Analytics, Adobe Analytics, Tableau, Power BI, Excel","Data Analytics, Economics, Marketing, Statistics",4,"About the Role
The ideal candidate will be responsible for analyzing marketing campaigns across multiple channels, generating actionable insights, and supporting decision-making with clear, data-backed recommendations. This role reports directly to the Senior Manager and will play a key role in improving customer engagement, optimizing campaigns, and driving business performance.
Key Responsibilities
Analyze end-to-end marketing campaign performance across digital and offline channels (SMS, Email, Push, Paid Media, etc.).
Generate insights on campaign effectiveness, customer behavior, and ROI to support optimization and future planning.
Build, maintain, and automate dashboards and reports using
Tableau
(preferred) or
Power BI
for campaign tracking and business performance.
Collaborate with campaign managers and product teams to design data-driven strategies.
Conduct A/B testing and performance benchmarking to identify opportunities for improvement.
Translate complex data into clear, actionable recommendations for leadership and stakeholders.
Monitor KPIs such as conversions, CTR, ARPU uplift, churn reduction, and incremental revenue.
Skills & Qualifications
Bachelor’s degree in Marketing, Business, Statistics, Economics, Data Analytics, or related field.
4–8 years of experience in campaign analytics, digital marketing analytics, or a similar role (telecom/tech industry experience preferred).
Strong proficiency in digital analytics and campaign measurement.
Hands-on experience with Tableau (preferred) or Power BI (dashboard creation, visualization, and reporting).
Advanced skills in Excel and Google Sheets for data analysis and reporting.
Strong analytical and commercial skills, with the ability to translate data into business impact.
Solid understanding of campaign performance metrics (CTR, conversion, ARPU, churn, uplift, etc.).
Proficiency in Excel, and analytical tools (Google Analytics, Adobe Analytics, or similar is a plus).
Strong problem-solving skills with the ability to generate actionable insights.
Excellent communication skills to present insights to both technical and non-technical stakeholders.
Why Join Us?
Opportunity to work in a fast-paced, data-driven environment.
Direct impact on shaping campaign strategies and customer engagement.
Exposure to advanced marketing automation and CVM platforms.
Collaborative and supportive team culture.",Mid Level
Junior Quant Analyst,PT Sentral Layanan Prima,Jakarta Selatan,Jakarta Raya,,Tidak ada tools spesifik,"Computer Science, Management",0,"Requirement :
Bachelor’s/Master’s/Doctorate in Mathematics, Statistics, Actuarial Science, Physics, Computer Science, or a related field, provided the candidate demonstrates strong analytical, mathematical, and technical capabilities.
Open to fresh graduates from reputable universities.
Proficient in English with strong communication skills.
Strong analytical skills: trend detection, anomaly identification, problem-solving.
Ability to meet tight deadlines in a fast-paced environment.
Comfortable working in international and multilingual environments.
Demonstrated willingness to learn and take on additional responsibilities, expanding skills, and team value.
Full-time commitment with flexibility to work beyond standard hours when required, particularly to align with offshore market schedules.
Job Responsibilities :
Conduct in-depth research and develop quantitative models for stock price projection, market volatility, and portfolio risk management.
Assess and manage data sources:
Data Source Assessment – evaluate and analyze data from various systems to ensure the right data is leveraged for reporting and analysis.
Data Audits & Reconciliation – perform regular audits and reconcile final reports with source systems to ensure accuracy.
Data Quality Maintenance – monitor data quality through feedback and metrics, addressing issues and implementing corrections as needed.
Data Usage & Insights – promote best practices for data usage and provide actionable insights to improve decision-making.
Conduct time-series analysis and evaluate predictive accuracy.
Implement predictive algorithms into investment workflows.
Collaborate with research and investment teams to translate model outputs into practical strategies.
Continuously monitor model performance and enhance methodologies with new data.",Entry Level
DATA ANALYST,PT GADAI JADI BERKAH,Tangerang,Banten,8000000,"SQL, Tableau, Python, R, Power BI, Excel","Mathematics, Statistics",1,"Kami mencari individu berbakat dengan keterampilan analitis yang kuat, kemahiran dalam alat analisis data, dan keterampilan komunikasi yang sangat baik. Bergabunglah dengan tim kami dan buat dampak yang berarti dengan mengubah data menjadi wawasan yang berharga.
Kualifikasi :
•       Lulusan S-1 jurusan Matematika, Statistika, Informasi Teknologi atau bidang terkait
•       Pemahaman yang kuat tentang statistik, probabilitas, dan analisis kuantitatif
•       Pengalaman minimal 1 tahun sebagai
Data Analyst
(
fresh graduates welcome
)
•       Keterampilan analitis dan pemecahan masalah
•       Menguasai tools pengolahan data seperti
Excel, Python, R, atau SQL
akan menjadi nilai plus
•       Berpengalaman menggunakan alat visualisasi data seperti
Tableau, Power BI
, atau sejenisnya
Penempatan Modernland - Tangerang",Entry Level
Business Analyst,PT Cahaya Subur Lestari (BSA Land),Tangerang Selatan,Banten,,Tidak ada tools spesifik,"Business Administration, Civil Engineering, Information Technology",0,"Company Description
BSA Land Group is the largest property developer in Indonesia, specialising in the middle-class sector. With over 30 residential and commercial projects across the archipelago, BSA Land works to reduce the 8 million housing backlog in the country. Our focus on creating sustainable developments that positively impact people's daily lives has earned us multiple international awards and recognition as the leading property developer in Indonesia.
Role Description
This is a Contract on-site role for Business Analyst Staff located in South Tangerang. The Business Analyst Staff will be responsible for day-to-day tasks associated with feasibility study, business analytics, data analysis, and other Business Analyst role.
Qualifications
Candidate must possess at least
Bachelor's Degree in Urban & Regional Planning / Real Estate, Civil Engineering, Architecture, Planology, or Business Administration
from Reputable University.
At least 1 year of work experience in Business Analyst preferably from
Developer/Property/Real Estate Company. Fresh graduates are welcome to apply.
Experienced in Feasibility Study and Data Analyst.
Has good research and analytical skill.
Fluent in using computer programs, especially AutoCAD & Statistical Tools.
Responsibilities
Prepare the financial modelling/feasibility study of a new potential residential project.
Update and track (monitoring) the feasibility studies (financial models) of existing residential projects.
Assist management in periodic budget review and prepare annual budget plan.
Conduct residential market research and prepare the residential market report/slides.
Conduct competitive analysis.",Entry Level
Merchandiser Data Analyst,PT Ramayana Lestari Sentosa Tbk,Jakarta Pusat,Jakarta Raya,,"Power BI, Tableau, Excel, SQL",Jurusan Lainnya,5,"About the role
As a Merchandising Planning Analyst at PT Ramayana Lestari Sentosa Tbk, you will play a crucial role in the company's retail and consumer product planning. you will be responsible for analysing data and developing strategies to optimise our product assortment and inventory, ensuring we meet the evolving needs of our customers.
Key Responsibilities
Collect, clean, and analyze sales, inventory, and market trend data using Excel, SQL, and BI tools.
Develop data-driven merchandising plans (assortment planning, pricing strategy, promotion effectiveness).
Build and maintain dashboards and regular reports to support management decision-making.
Collaborate with marketing, buying, and supply chain teams to ensure plans align with company targets.
Perform root cause analysis to investigate anomalies in sales or inventory data.
Present insights and recommendations to management and stakeholders in a clear and actionable way.
Propose initiatives for automation and digitalization of data analysis using scripts or AI technology.
Requirements
Bachelor’s degree from a reputable university in IT, Mathematics, Statistics, or a related field.
3–5 years of experience in Data Analysis, Business Intelligence, or Merchandising Planning.
Proficient in Microsoft Excel (pivot tables, complex formulas) and SQL.
Familiar with Power BI, Tableau, or other BI tools (knowledge of machine learning/AI is a plus).
Strong communication skills with the ability to deliver insights to management effectively.
Basic leadership skills
Highly detail-oriented, critical thinker, and able to work under tight deadlines.
Understanding Mandarin Language.
About us
PT Ramayana Lestari Sentosa Tbk' is a leading retail company in Indonesia, operating a network of department stores and supermarkets across the country. With a strong focus on providing quality products and exceptional customer service, we have built a reputation for being a trusted and reliable brand. Our commitment to sustainability and corporate social responsibility is at the heart of our business, and we are proud to be a part of the communities we serve.",Senior Level
